paper_key,first_author,year,journal,doi,n_arms
P01_LI_2021,Lewis-Israeli,2021,Nature Communications,10.1038/s41467-021-25329-5,6
P02_BR_2022,Branco,2022,Nature Communications,10.1038/s41467-022-34730-7,6
P03_DR_2021,Drakhlis,2021,Nature Biotechnology,10.1038/s41587-021-00815-9,1
P04_ER_2022,Ergir,2022,Scientific Reports,10.1038/s41598-022-22225-w,2
P05_GH_2023,Ghosheh,2023,Nature Biomedical Engineering,10.1038/s41551-023-01071-9,1
P06_HO_2021,Hoang,2021,Stem Cell Reports,10.1016/j.stemcr.2021.03.013,2
P07_VO_2023,Voges,2023,Cell Reports,10.1016/j.celrep.2023.112322,2
P08_PO_2025,Pocock,2025,Nature Cardiovascular Research,10.1038/s44161-025-00669-3,2
P09_LI_2022,Liang,2022,Frontiers Bioengineering Biotechnology,10.3389/fbioe.2022.1059243,2
P10_FE_2022,Feng,2022,Communications Biology,10.1038/s42003-022-03346-4,2
P11_HF_2021,Hofbauer,2021,Cell,10.1016/j.cell.2021.04.034,5
P12_VO_2023,Volmert,2023,Nature Communications,10.1038/s41467-023-43999-1,4
P13_AB_2025,Abilez,2025,Science,10.1126/science.adu9375,2
P14_SA_2025,Santoro,2025,Materials Today Bio,10.1016/j.mtbio.2025.101566,2
P15_SO_2021,Song,2021,Biomaterials,10.1016/j.biomaterials.2021.121133,2
P16_HO_2022,Ho,2022,Stem Cell Research Therapy,10.1186/s13287-022-03215-1,2
P17_KO_2024,Kostina,2024,Stem Cell Reports,10.1016/j.stemcr.2024.01.003,2
P18_YA_2024,Yang,2024,Cell Proliferation,10.1111/cpr.13631,1
P20_LE_2022,Lee,2022,Organoid,10.51335/organoid.2022.2.e14,1
P21_HY_2024,Hyams,2024,Scientific Reports,10.1038/s41598-024-61554-w,1
P22_LI_2022,Lewis-Israeli,2022,Current Protocols,10.1002/cpz1.461,1
P23_AR_2023,Arzt,2023,Current Protocols,10.1002/cpz1.767,1
P24_MI_2017,Mills,2017,PNAS,10.1073/pnas.1707316114,2
P25_RI_2020,Richards,2020,Nature Biomedical Engineering,10.1038/s41551-020-0539-4,2
P26_SC_2023,Schmidt,2023,Cell,10.1016/j.cell.2023.10.030,4
P27_BR_2019,Branco,2019,Scientific Reports,10.1038/s41598-019-45047-9,2
P28_GI_2020,Giacomelli,2020,Cell Stem Cell,10.1016/j.stem.2020.05.004,2
P32_LEE_2021,Lee,2021,Biomedicines,10.3390/biomedicines9121952,4
P33_HARIHA_2025,Harihara,2025,Tissue engineering. Part A,10.1177/19373341251392244,2
P43_KOWALC_2024,Kowalczewski,2024,Cell reports methods,10.1016/j.crmeth.2024.100798,7
P44_PATINO_2023,Patino-Guerrero,2023,RSC advances,10.1021/acsbiomaterials.2c01290,4
P57_SILVER_2023,Silver,2023,eLife,10.7554/eLife.83532,5
P200_WANG_2025,Wang,2025,Biochemical and biophysical research communications,10.1016/j.bbrc.2025.152140,3
P201_LIANG_2025,Liang,2025,Biochemical pharmacology,10.1016/j.bcp.2025.117282,7
P203_YIANGO_2026,Yiangou,2026,Experimental cell research,10.1016/j.yexcr.2026.115065,4
P204_HOEHLS_2025,Hoehlschen,2025,Life sciences,10.1016/j.lfs.2025.123923,1
P205_MA_2024,Ma,2024,Chemosphere,10.1016/j.chemosphere.2024.141567,5
P206_SCALIS_2025,Scalise,2025,Mechanisms of ageing and development,10.1016/j.mad.2024.112007,3
